Survived,Pclass,Sex,Age,SibSp,Parch,Fare,HasCabin,Fare_winsorized,Fare_log,FamilySize,IsAlone,Emb_C,Emb_Q,Emb_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown,AgeGrp_Child,AgeGrp_Teen,AgeGrp_Adult,AgeGrp_Middle-Age,AgeGrp_Senior,Age_scaled,Fare_winsorized_scaled,Fare_log_scaled,FamilySize_scaled
0,3,0,22.0,1,0,7.25,0,7.25,2.1102132003465894,2,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,-0.5292047224968899,-0.5641087873940193,-0.8797405693934278,0.059159876663617626
1,1,1,38.0,1,0,71.2833,1,71.2833,4.2805931204649,2,0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.6574473880901118,0.9425480546638041,1.3612199269233833,0.059159876663617626
1,3,1,26.0,0,0,7.925,0,7.925,2.188856327665703,1,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,-0.23254169485013945,-0.548226529750121,-0.798539974052802,-0.5609748304808925
1,1,1,35.0,1,0,53.1,1,53.1,3.9908341858524357,2,0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.43495011735504896,0.5147082688618853,1.0620380556287106,0.059159876663617626
0,3,0,35.0,0,0,8.05,0,8.05,2.2027647577118348,1,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.43495011735504896,-0.5452853709271769,-0.7841792430073967,-0.5609748304808925
0,3,0,26.0,0,0,8.4583,0,8.4583,2.246892662898172,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,-0.23254169485013945,-0.5356783697479123,-0.7386163019798164,-0.5609748304808925
0,1,0,54.0,0,0,51.8625,1,51.8625,3.967694202798607,1,1,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.8440994986771135,0.4855907965147383,1.038145562232327,-0.5609748304808925
0,3,0,2.0,3,1,21.075,0,21.075,3.0944457464900235,5,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,-2.012519860730642,-0.23881662157639924,0.1364991380659541,1.9195639980971482
1,3,1,27.0,0,2,11.1333,0,11.1333,2.495953738718064,3,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,-0.15837593793845184,-0.47273757093690794,-0.48145578049281335,0.6792945838081278
1,2,1,14.0,1,0,30.0708,0,30.0708,3.436268471383741,2,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,-1.1225307777903908,-0.027152009260873307,0.4894379098126231,0.059159876663617626
1,3,1,4.0,1,1,16.7,1,16.7,2.8735646395797834,3,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,-1.8641883469072666,-0.3417571803794436,-0.09156500424402261,0.6792945838081278
1,1,1,58.0,0,0,26.55,1,26.55,3.3160025355989236,1,1,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2.1407625263238637,-0.10999386513144661,0.36526093570402607,-0.5609748304808925
0,3,0,20.0,0,0,8.05,0,8.05,2.2027647577118348,1,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,-0.677536236320265,-0.5452853709271769,-0.7841792430073967,-0.5609748304808925
0,3,0,39.0,1,5,31.275,0,31.275,3.4742929367327062,7,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.7316131450017994,0.0011819383758412065,0.5286989276421437,3.1598334123861687
0,3,1,14.0,0,0,7.8542,0,7.8542,2.180891922715322,1,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,-1.1225307777903908,-0.5498924021074366,-0.806763380796033,-0.5609748304808925
1,2,1,55.0,0,0,16.0,0,16.0,2.833213344056216,1,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1.9182652555888011,-0.35822766978793064,-0.13322852057373055,-0.5609748304808925
0,3,0,2.0,4,1,29.125,0,29.125,3.405355391810819,6,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,-2.012519860730642,-0.04940599337879768,0.457519539438721,2.5396987052416584
